                 Time,              V(R1:2)
0,1.50E-09
0.0002,1.50E-09
0.0004,1.50E-09
0.0008,1.50E-09
0.0016,1.50E-09
0.0032,1.50E-09
0.0064,1.50E-09
0.0128,1.50E-09
0.0256,1.50E-09
0.0456,1.51E-09
0.0656,1.60E-09
0.0856,2.54E-09
0.1056,1.20E-08
0.1256,1.09E-07
0.1456,1.09E-06
0.1656,1.11E-05
0.1856,0.000112417
0.2056,0.001100803
0.2256,0.008434324
0.2456,0.033084389
0.2656,0.072716258
0.2856,0.119802743
0.3056,0.170652449
0.3256,0.22365652
0.3456,0.27802828
0.3656,0.333335817
0.3856,0.389320344
0.4056,0.445815682
0.4256,0.50270921
0.4456,0.559921443
0.4656,0.617394269
0.4856,0.675083816
0.5056,0.732956469
0.5256,0.790985823
0.5456,0.849150598
0.5656,0.907433629
0.5856,0.965820789
0.6056,1.024300337
0.6256,1.082862258
0.6456,1.141498446
0.6656,1.200201392
0.6856,1.258965015
0.7056,1.317784071
0.7256,1.376653671
0.7456,1.435569763
0.7656,1.49452877
0.7856,1.553527355
0.8056,1.612562776
0.8256,1.67163229
0.8456,1.730733633
0.8656,1.789864779
0.8856,1.8490237
0.9056,1.908208728
0.9256,1.967418432
0.9456,2.026651144
0.9656,2.08590579
0.9856,2.145181179
1,2.187871456
