                 Time,               I(VC1),               I(VC2),               I(VC3),               I(VC4),               I(VC5)
0,0.002542648,0.004657357,0.00632465,0.007524967,0.008238671
0.0002,0.002541674,0.004655383,0.006321647,0.00752091,0.008233532
0.0004,0.0025407,0.004653409,0.006318645,0.007516853,0.008228392
0.0008,0.002538753,0.004649459,0.00631264,0.007508738,0.008218113
0.0016,0.002534857,0.004641561,0.006300631,0.007492509,0.008197555
0.0032,0.002527066,0.004625764,0.006276612,0.007460051,0.008156438
0.0064,0.002511482,0.004594168,0.006228572,0.00739513,0.008074199
0.0128,0.002480313,0.00453097,0.006132481,0.007265275,0.007909702
0.0256,0.002417961,0.004404549,0.005940261,0.007005513,0.007580641
0.0456,0.002320506,0.004206952,0.005639814,0.006599491,0.007066298
0.0656,0.002223012,0.004009273,0.005339242,0.006193296,0.00655173
0.0856,0.002125479,0.003811514,0.005038544,0.005786927,0.006043291
0.1056,0.002027907,0.003613675,0.004737721,0.005380384,0.005554863
0.1256,0.001930297,0.003415755,0.004436772,0.004973668,0.005086945
0.1456,0.001832648,0.003217754,0.004135698,0.004566777,0.004639545
0.1656,0.00173496,0.003019672,0.003834497,0.004159712,0.004212673
0.1856,0.001637233,0.00282151,0.003533171,0.003758881,0.003806338
0.2056,0.001539468,0.002623267,0.003231719,0.003377897,0.00342055
0.2256,0.001441663,0.002424943,0.002930141,0.003017215,0.003055319
0.2456,0.00134382,0.002226539,0.002628436,0.002676843,0.002710653
0.2656,0.001245938,0.002028053,0.002326606,0.002356791,0.002386563
0.2856,0.001148017,0.001829486,0.002031078,0.002057068,0.002083056
0.3056,0.001050057,0.001630839,0.001755219,0.001777682,0.001800144
0.3256,0.000952058,0.00143211,0.001499451,0.001518643,0.001537834
0.3456,0.000854019,0.0012333,0.001263781,0.001279959,0.001296136
0.3656,0.000755942,0.001034409,0.001048219,0.00106164,0.001075059
0.3856,0.000657826,0.000841854,0.000852774,0.000863693,0.000874612
0.4056,0.000559671,0.000668777,0.000677453,0.000686129,0.000694804
0.4256,0.000461477,0.000515576,0.000522265,0.000528955,0.000535643
0.4456,0.000363243,0.000382259,0.000387219,0.00039218,0.00039714
0.4656,0.000264971,0.000268835,0.000272323,0.000275812,0.000279301
0.4856,0.000173035,0.00017531,0.000177586,0.000179861,0.000182137
0.5056,0.000100374,0.000101694,0.000103014,0.000104335,0.000105655
0.5256,4.74E-05,4.80E-05,4.86E-05,4.92E-05,4.99E-05
0.5456,1.40E-05,1.42E-05,1.44E-05,1.46E-05,1.48E-05
0.5656,3.72E-07,3.76E-07,3.81E-07,3.86E-07,3.91E-07
0.5856,-2.47E-12,-2.31E-12,-4.45E-13,4.25E-12,5.53E-12
0.6056,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.6256,-2.47E-12,-2.31E-12,-4.45E-13,4.25E-12,5.53E-12
0.6456,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.6656,-2.47E-12,-2.31E-12,-4.44E-13,4.25E-12,5.53E-12
0.6856,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.7056,-2.47E-12,-2.31E-12,-4.44E-13,4.25E-12,5.53E-12
0.7256,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.7456,-2.47E-12,-2.31E-12,-4.44E-13,4.25E-12,5.53E-12
0.7656,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.7856,-2.47E-12,-2.31E-12,-4.45E-13,4.25E-12,5.53E-12
0.8056,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.8256,-2.47E-12,-2.31E-12,-4.45E-13,4.25E-12,5.53E-12
0.8456,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.8656,-2.47E-12,-2.31E-12,-4.45E-13,4.25E-12,5.53E-12
0.8856,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.9056,-2.47E-12,-2.31E-12,-4.44E-13,4.25E-12,5.53E-12
0.9256,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.9456,-2.47E-12,-2.31E-12,-4.44E-13,4.25E-12,5.53E-12
0.9656,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
0.9856,-2.47E-12,-2.31E-12,-4.44E-13,4.25E-12,5.53E-12
1,5.28E-12,7.12E-12,7.25E-12,4.56E-12,5.28E-12
